radius,numberIntersections,intersectionArea,meanIntersectionDiameter
May31e-apical,640.000000,9.000000,2.363855,0.568836
May31e-apical,660.000000,8.000000,2.089800,0.565696
May31e-apical,680.000000,9.000000,2.027460,0.521837
May31e-apical,700.000000,9.000000,3.172428,0.634621
May31e-apical,720.000000,9.000000,2.742615,0.609288
May31e-apical,740.000000,8.000000,3.523798,0.704024
May31e-apical,760.000000,7.000000,1.838129,0.556246
May31e-apical,780.000000,8.000000,2.352206,0.581578
May31e-apical,800.000000,6.000000,1.358208,0.529258
May31e-apical,820.000000,3.000000,0.760298,0.556001
May31e-apical,840.000000,2.000000,0.601083,0.612570
May31e-apical,860.000000,2.000000,0.410624,0.511283
May31e-apical,880.000000,1.000000,0.227916,0.538695
May3g-basal,20.000000,10.000000,9.116648,1.033076
May3g-basal,40.000000,23.000000,7.757856,0.613278
May3g-basal,60.000000,29.000000,10.143388,0.617632
May3g-basal,80.000000,33.000000,12.118821,0.644317
May3g-basal,100.000000,34.000000,11.961155,0.635979
May3g-basal,120.000000,30.000000,10.293332,0.603966
May3g-basal,140.000000,26.000000,8.422262,0.582008
May3g-basal,160.000000,20.000000,4.989061,0.541590
May3g-basal,180.000000,17.000000,5.106365,0.572681
May3g-basal,200.000000,15.000000,4.548058,0.594185
May3g-basal,220.000000,5.000000,0.936278,0.453691
