ID      SECTION-NUMBER  SECTION-LENGTH  BRANCH-ORDER    X       Y       Z       HEAD-DIAMETER   NECK-DIAMETER   MAX-DTS TYPE    AUTO    XYPLANE-ANGLE   SWC-NODE-ID     SWC-NODE-OFFSET ATTACH-X        ATTACH-Y        ATTACH-Z        SOMA-DISTANCE
94      14      28.35688        N/A     387.326813      181.482666      127.195045      0.563351        0.02    1.725224        mushroom        yes     18.003951       1043    0       387.320282      179.867645      127.719925      248.05777
95      42      105.884048      N/A     354.478424      164.171936      134.845703      0.243622        0.02    1.80478 thin    yes     -0.551733       2339    0.426337        356.367157      164.671631      134.826889      240.112274
96      24      30.075813       N/A     350.953583      167.200012      125.108826      0.2     N/A     1.735244        stubby  yes     71.243021       1709    0       351.337006      167.807007      127.223 231.572418
97      6       95.085373       N/A     308.460632      238.08197       104.901108      0.435525        0.02    1.642823        mushroom        yes     40.766922       256     0.406772        306.913269      237.592377      106.300385      137.981018
98      7       113.390648      N/A     341.299805      164.366058      119.366478      0.476451        0.405293        1.660283        mushroom        yes     34.056343       388     0.524012        342.620575      164.872482      120.322617      228.373123
99      32      22.734785       N/A     453.3172        84.347435       132.343399      0.439881        0.2     1.580236        mushroom        yes     27.257723       1960    0.387494        454.324951      83.742149       132.949051      378.546509
100     38      90.930717       N/A     365.62027       127.231445      137.781601      0.283244        N/A     1.624259        thin    yes     10.4057 2160    0       366.635803      128.103683      138.027435      288.597321
101     8       66.177658       N/A     354.450531      111.606651      116.997375      0.336121        0.02    1.59552 thin    yes     55.905231       474     0.854293        355.183716      111.792061      118.114594      288.196289
102     11      36.67181        N/A     343.916534      217.825455      111.897018      0.586277        N/A     1.566007        thin    yes     -8.279314       597     0       343.362885      216.318588      111.663414      182.554306
103     42      105.884048      N/A     357.211243      121.646706      140.131378      0.522966        0.403803        1.531569        mushroom        yes     49.035481       2395    0.790791        356.446045      121.945709      141.077637      288.617371
104     42      105.884048      N/A     355.291626      127.759125      141.206802      0.628319        N/A     1.644106        stubby  yes     -57.510443      2391    0.954932        355.316986      128.503006      140.037994      281.586456
